OrderID,OrderDate,Origin,Destination,Weight_kg,VehicleType,FreightCost_USD,DeliveryStatus,CustomerRating
ORD00151,2023-05-27,Los Angeles,Atlanta,454.59,Van,1325.91,Delivered,4.0
ORD00152,2023-12-07,New York,Denver,123.58,Truck,392.25,Cancelled,3.0
ORD00153,2023-02-28,Houston,Seattle,76.72,Van,222.1,Delivered,5.0
ORD00154,2023-01-11,New York,Seattle,247.28,Air,707.29,Cancelled,5.0
ORD00155,2023-10-20,Chicago,Denver,492.9,Air,1349.18,Delivered,3.0
ORD00156,2023-02-10,Houston,Miami,124.82,Van,375.14,In Transit,4.0
ORD00157,2023-09-26,New York,Denver,337.71,Air,613.69,Cancelled,3.0
ORD00158,2023-04-13,Los Angeles,Seattle,382.0,Air,1245.99,In Transit,4.0
ORD00159,2023-04-18,Houston,Miami,122.63,Air,397.77,Delivered,4.0
ORD00160,2023-05-11,Los Angeles,Denver,365.47,Train,569.58,Delivered,5.0
ORD00161,2023-10-15,New York,Miami,187.05,Air,589.51,Delivered,5.0
ORD00162,2023-08-04,Chicago,Miami,317.99,Truck,558.94,Delivered,5.0
ORD00163,2023-09-19,Houston,Seattle,318.6,Van,691.44,Delivered,4.0
ORD00164,2023-05-29,Phoenix,Boston,270.21,Truck,807.12,Delivered,5.0
ORD00165,2023-06-27,Phoenix,Boston,49.69,Van,90.51,Delivered,4.0
ORD00166,2023-12-27,Phoenix,Atlanta,418.47,Air,1312.29,Delivered,5.0
ORD00167,2023-12-30,Houston,Boston,163.79,Truck,518.28,Delivered,5.0
ORD00168,2023-01-31,New York,Seattle,97.33,Truck,244.78,Delayed,3.0
ORD00169,2023-06-14,Chicago,Seattle,25.18,Van,38.09,Cancelled,
ORD00170,2023-07-23,Los Angeles,Seattle,297.49,Air,617.02,Delayed,4.0
ORD00171,2023-12-02,Phoenix,Boston,340.39,Train,930.58,Delivered,5.0
ORD00172,2023-06-15,Phoenix,Atlanta,13.21,Train,45.74,Delivered,2.0
ORD00173,2023-08-05,Los Angeles,Boston,258.49,Train,714.37,Delivered,3.0
ORD00174,2023-07-09,Houston,Atlanta,117.12,Van,236.54,Cancelled,5.0
ORD00175,2023-01-24,New York,Boston,324.36,Train,897.83,Delivered,4.0
ORD00176,2023-01-12,New York,Miami,91.31,Van,235.58,In Transit,5.0
ORD00177,2023-01-27,Chicago,Denver,347.01,Train,1061.74,Delivered,4.0
ORD00178,2023-06-12,Houston,Miami,196.43,Train,336.67,Delayed,5.0
ORD00179,2023-08-20,Los Angeles,Seattle,468.68,Truck,1416.38,Delivered,5.0
ORD00180,2023-10-03,Phoenix,Seattle,73.07,Van,188.71,Delivered,4.0
ORD00181,2023-08-05,Houston,Denver,173.83,Van,595.54,Delayed,4.0
ORD00182,2023-05-11,Phoenix,Denver,61.17,Van,133.58,Delivered,4.0
ORD00183,2023-08-23,Chicago,Miami,462.72,Air,1279.53,In Transit,1.0
ORD00184,2023-07-23,Phoenix,Seattle,439.28,Train,1477.76,Delivered,4.0
ORD00185,2023-02-09,Houston,Denver,132.68,Truck,226.22,Delivered,5.0
ORD00186,2023-03-02,Houston,Seattle,331.69,Truck,1119.27,Delivered,5.0
ORD00187,2023-06-20,Phoenix,Denver,409.52,Van,1177.69,In Transit,5.0
ORD00188,2023-03-31,Chicago,Boston,279.82,Train,457.69,In Transit,5.0
ORD00189,2023-01-04,Los Angeles,Atlanta,267.18,Air,561.59,Delivered,5.0
ORD00190,2023-06-18,Phoenix,Seattle,124.72,Air,363.73,Delivered,5.0
ORD00191,2023-11-01,Houston,Seattle,51.09,Train,83.52,Delivered,4.0
ORD00192,2023-02-07,New York,Boston,449.12,Air,1196.61,Cancelled,5.0
ORD00193,2023-02-06,Houston,Boston,450.71,Air,987.85,Delivered,5.0
ORD00194,2023-10-25,Houston,Denver,318.39,Train,872.97,Delivered,4.0
ORD00195,2023-01-22,Chicago,Denver,172.82,Train,275.04,Delivered,3.0
ORD00196,2023-08-12,Phoenix,Seattle,177.86,Train,,In Transit,4.0
ORD00197,2023-11-12,New York,Atlanta,364.35,Air,1255.91,In Transit,4.0
ORD00198,2023-06-27,Chicago,Seattle,449.07,Van,1543.79,Delivered,5.0
ORD00199,2023-06-13,Chicago,Boston,444.11,Truck,1332.02,Delayed,4.0
ORD00200,2023-09-06,New York,Miami,391.04,Train,688.3,Delivered,
ORD00201,2023-07-21,Los Angeles,Seattle,322.81,Train,973.76,Delivered,5.0
ORD00202,2023-11-04,Los Angeles,Denver,46.65,Van,72.27,Cancelled,3.0
ORD00203,2023-06-21,Phoenix,Boston,85.01,Truck,131.28,Delivered,4.0
ORD00204,2023-05-24,Los Angeles,Miami,449.78,Van,965.78,Delivered,1.0
ORD00205,2023-08-22,Los Angeles,Atlanta,305.18,Truck,756.02,Delivered,5.0
ORD00206,2023-08-25,Phoenix,Boston,9.55,Van,29.04,Delivered,5.0
ORD00207,2023-01-02,Chicago,Miami,55.23,Air,158.32,Delayed,4.0
ORD00208,2023-11-24,Chicago,Boston,333.43,Truck,797.5,In Transit,5.0
ORD00209,2023-03-15,New York,Atlanta,7.51,Truck,15.37,Delivered,4.0
ORD00210,2023-06-06,Chicago,Seattle,84.6,Train,295.61,Delivered,5.0
ORD00211,2023-10-25,New York,Seattle,276.62,Truck,650.71,Delivered,5.0
ORD00212,2023-10-10,New York,Atlanta,347.49,Air,834.94,In Transit,5.0
ORD00213,2023-08-23,Phoenix,Miami,327.72,Van,598.83,Delivered,1.0
ORD00214,2023-01-21,Houston,Atlanta,116.01,Van,358.43,Delayed,5.0
ORD00215,2023-06-05,Phoenix,Miami,357.53,Van,1032.32,Delivered,5.0
ORD00216,2023-01-07,Phoenix,Seattle,122.44,Train,237.72,Delayed,4.0
ORD00217,2023-01-31,Los Angeles,Boston,166.07,Truck,276.47,In Transit,5.0
ORD00218,2023-07-02,Chicago,Atlanta,374.51,Van,1071.47,In Transit,4.0
ORD00219,2023-06-05,New York,Denver,326.57,Air,917.34,Delivered,5.0
ORD00220,2023-03-30,New York,Atlanta,425.37,Truck,870.53,Delivered,3.0
ORD00221,2023-09-24,Houston,Miami,330.52,Truck,1124.34,Delivered,5.0
ORD00222,2023-03-06,Chicago,Boston,286.31,Air,515.96,Delivered,4.0
ORD00223,2023-10-10,Chicago,Seattle,51.37,Truck,121.47,In Transit,2.0
ORD00224,2023-12-18,New York,Miami,187.02,Van,633.48,Delivered,4.0
ORD00225,2023-07-19,Houston,Boston,136.28,Truck,318.82,Delivered,
ORD00226,2023-11-13,Chicago,Miami,125.77,Truck,349.27,Delivered,4.0
ORD00227,2023-08-23,New York,Seattle,486.64,Truck,1116.93,Delivered,4.0
ORD00228,2023-02-27,Chicago,Atlanta,199.58,Air,408.83,Delivered,4.0
ORD00229,2023-08-30,Los Angeles,Denver,446.56,Train,,Delivered,4.0
ORD00230,2023-05-13,Phoenix,Denver,317.41,Van,735.97,Delivered,4.0
ORD00231,2023-06-01,Houston,Seattle,398.43,Van,1310.12,Delivered,5.0
ORD00232,2023-08-16,Chicago,Miami,253.81,Truck,497.44,Delivered,1.0
ORD00233,2023-11-25,New York,Boston,290.57,Train,559.7,Delayed,
ORD00234,2023-10-16,Chicago,Atlanta,248.8,Van,388.69,Delivered,5.0
ORD00235,2023-02-22,Phoenix,Atlanta,101.65,Van,,Delivered,5.0
ORD00236,2023-04-19,New York,Atlanta,362.61,Train,811.18,Delivered,4.0
ORD00237,2023-05-05,Houston,Denver,143.98,Van,464.87,Delivered,5.0
ORD00238,2023-09-19,Los Angeles,Atlanta,17.04,Air,41.69,Delivered,3.0
ORD00239,2023-08-16,Houston,Atlanta,324.51,Air,1115.14,Delivered,2.0
ORD00240,2023-01-11,Los Angeles,Miami,92.67,Truck,173.39,Delivered,4.0
ORD00241,2023-04-10,Phoenix,Seattle,470.53,Van,1523.22,Delivered,5.0
ORD00242,2023-04-28,Chicago,Denver,477.19,Air,1456.95,Cancelled,1.0
ORD00243,2023-09-08,New York,Denver,457.86,Van,1392.74,Delivered,
ORD00244,2023-01-13,New York,Miami,188.23,Van,600.37,Cancelled,5.0
ORD00245,2023-02-22,Los Angeles,Seattle,12.65,Truck,38.23,Cancelled,5.0
ORD00246,2023-10-30,Phoenix,Denver,464.52,Train,1278.56,Delivered,4.0
ORD00247,2023-03-16,New York,Denver,216.95,Air,382.37,In Transit,2.0
ORD00248,2023-02-10,Phoenix,Atlanta,483.49,Train,756.69,Delivered,5.0
ORD00249,2023-08-14,Phoenix,Boston,481.99,Air,1610.66,In Transit,4.0
ORD00250,2023-11-07,Los Angeles,Seattle,427.24,Air,1167.78,In Transit,3.0
ORD00251,2023-07-17,Houston,Boston,150.75,Van,466.28,Delivered,2.0
ORD00252,2023-05-15,Phoenix,Atlanta,195.62,Air,481.82,In Transit,5.0
ORD00253,2023-12-29,New York,Seattle,426.31,Air,739.48,Delivered,5.0
ORD00254,2023-12-15,Phoenix,Denver,161.88,Truck,283.35,Delivered,5.0
ORD00255,2023-09-05,Chicago,Seattle,88.9,Train,255.24,Delivered,5.0
ORD00256,2023-03-30,Los Angeles,Denver,280.62,Air,662.43,Cancelled,4.0
ORD00257,2023-09-21,New York,Boston,468.4,Air,890.45,Delivered,4.0
ORD00258,2023-11-05,Chicago,Seattle,349.53,Train,867.95,Delivered,4.0
ORD00259,2023-07-27,Los Angeles,Miami,287.18,Air,467.65,Delivered,4.0
ORD00260,2023-02-14,Phoenix,Seattle,53.1,Air,141.46,Delivered,4.0
ORD00261,2023-03-02,Houston,Seattle,309.43,Van,630.61,Cancelled,5.0
ORD00262,2023-04-10,Chicago,Seattle,495.08,Truck,1532.33,In Transit,5.0
ORD00263,2023-02-17,Houston,Seattle,74.34,Train,157.65,Delivered,5.0
ORD00264,2023-04-19,Chicago,Miami,261.57,Van,630.5,In Transit,4.0
ORD00265,2023-02-08,Phoenix,Denver,439.3,Van,669.16,Delivered,5.0
ORD00266,2023-11-03,Los Angeles,Miami,371.68,Truck,611.37,Delivered,5.0
ORD00267,2023-08-12,Los Angeles,Seattle,350.02,Air,799.79,Delivered,4.0
ORD00268,2023-09-14,Phoenix,Atlanta,352.73,Van,867.67,Delivered,5.0
ORD00269,2023-07-20,New York,Boston,182.95,Truck,493.97,Delivered,4.0
ORD00270,2023-07-18,Phoenix,Atlanta,150.33,Van,313.19,Delivered,4.0
ORD00271,2023-12-27,Phoenix,Seattle,405.63,Air,1172.26,Delivered,3.0
ORD00272,2023-04-29,Phoenix,Boston,406.01,Van,1307.45,Delayed,4.0
ORD00273,2023-10-04,Los Angeles,Denver,434.2,Air,1328.52,In Transit,4.0
ORD00274,2023-04-19,New York,Denver,457.05,Truck,721.79,Delivered,
ORD00275,2023-01-30,Phoenix,Denver,258.11,Truck,635.21,In Transit,5.0
ORD00276,2023-12-08,Chicago,Denver,253.25,Train,433.02,Delivered,5.0
ORD00277,2023-09-22,Phoenix,Miami,400.16,Air,,Delivered,5.0
ORD00278,2023-06-07,Los Angeles,Boston,326.73,Train,1134.84,Delivered,4.0
ORD00279,2023-09-12,Los Angeles,Atlanta,352.47,Van,629.16,Delivered,5.0
ORD00280,2023-11-15,Chicago,Denver,398.92,Truck,996.41,In Transit,
ORD00281,2023-10-30,New York,Atlanta,445.55,Van,1219.16,Delivered,4.0
ORD00282,2023-03-16,New York,Atlanta,172.31,Train,500.55,Delivered,4.0
ORD00283,2023-04-29,Chicago,Denver,190.91,Truck,500.05,Delivered,4.0
ORD00284,2023-01-22,Houston,Seattle,51.52,Truck,78.29,Delivered,1.0
ORD00285,2023-03-15,Phoenix,Seattle,291.25,Truck,627.04,Delivered,3.0
ORD00286,2023-06-02,Phoenix,Seattle,22.79,Van,57.78,Delivered,4.0
ORD00287,2023-08-21,Chicago,Atlanta,235.47,Truck,394.58,Delivered,5.0
ORD00288,2023-11-14,Chicago,Seattle,273.61,Train,602.29,In Transit,4.0
ORD00289,2023-12-24,Chicago,Atlanta,146.84,Truck,230.01,In Transit,4.0
ORD00290,2023-08-14,Houston,Denver,297.46,Train,492.94,Delivered,3.0
ORD00291,2023-03-26,New York,Atlanta,20.1,Air,46.11,Delayed,5.0
ORD00292,2023-03-16,Phoenix,Atlanta,23.49,Truck,41.47,Delivered,4.0
ORD00293,2023-11-25,New York,Boston,412.19,Train,1086.15,Delivered,4.0
ORD00294,2023-02-11,Los Angeles,Denver,183.29,Van,527.68,Delivered,4.0
ORD00295,2023-02-02,Houston,Miami,67.89,Air,210.54,In Transit,1.0
ORD00296,2023-12-12,Los Angeles,Seattle,263.51,Train,500.75,In Transit,1.0
ORD00297,2023-06-09,Phoenix,Denver,386.15,Truck,708.57,Delivered,4.0
ORD00298,2023-06-05,Chicago,Atlanta,111.83,Air,191.13,Delivered,1.0
ORD00299,2023-10-03,Phoenix,Denver,313.33,Truck,868.82,Delivered,3.0
ORD00300,2023-08-13,Chicago,Miami,47.25,Train,137.64,Delivered,4.0
ORD00301,2023-03-28,Phoenix,Boston,30.58,Air,47.8,Delivered,5.0
ORD00302,2023-10-19,Houston,Seattle,268.02,Truck,903.88,Delivered,4.0
ORD00303,2023-10-31,Phoenix,Atlanta,272.61,Train,437.25,Delivered,4.0
ORD00304,2023-04-06,Houston,Miami,320.53,Air,827.8,Delivered,4.0
ORD00305,2023-08-05,Phoenix,Denver,364.42,Van,1063.42,Delivered,5.0
ORD00306,2023-01-20,Phoenix,Seattle,488.05,Van,1582.23,Delivered,
ORD00307,2023-01-01,Chicago,Miami,260.57,Truck,762.99,Delivered,2.0
ORD00308,2023-10-23,Phoenix,Seattle,164.86,Air,511.64,Delivered,5.0
ORD00309,2023-09-08,Los Angeles,Seattle,398.62,Air,868.55,Delayed,3.0
ORD00310,2023-12-30,New York,Miami,139.06,Air,435.21,Delivered,4.0
ORD00311,2023-01-13,Los Angeles,Atlanta,222.29,Van,369.05,Delivered,4.0
ORD00312,2023-08-10,Houston,Atlanta,43.84,Van,144.22,In Transit,5.0
ORD00313,2023-09-15,New York,Atlanta,17.55,Train,45.55,Delivered,4.0
ORD00314,2023-11-01,Houston,Atlanta,481.51,Truck,1509.34,Delivered,5.0
ORD00315,2023-06-26,Phoenix,Miami,418.81,Van,1007.09,Delivered,5.0
ORD00316,2023-08-04,Los Angeles,Denver,349.51,Train,974.14,In Transit,3.0
ORD00317,2023-03-24,Phoenix,Denver,207.43,Truck,529.53,In Transit,4.0
ORD00318,2023-08-18,New York,Atlanta,90.78,Train,269.0,Delivered,4.0
ORD00319,2023-05-14,Los Angeles,Seattle,82.44,Truck,137.12,Delivered,4.0
ORD00320,2023-08-29,Houston,Atlanta,128.87,Van,208.86,Delivered,4.0
ORD00321,2023-03-26,Los Angeles,Denver,276.87,Van,552.14,Delivered,5.0
ORD00322,2023-09-07,Houston,Denver,358.72,Van,652.54,Delivered,5.0
